Date,Time,CPU (%),RAM (%)
2025-04-28,20:10:43,0.1,7.2
2025-04-28,20:10:53,0.2,7.2
2025-04-28,20:11:03,0.1,7.2
2025-04-28,20:11:13,0.1,7.2
2025-04-28,20:11:23,0.2,7.2
2025-04-28,20:11:33,0.1,7.2
2025-04-28,20:11:43,0.1,7.2
2025-04-28,20:11:53,0.1,7.2
2025-04-28,20:12:03,0.2,7.3
2025-04-28,20:12:13,0.2,7.2
2025-04-28,20:12:23,0.1,7.2
2025-04-28,20:12:33,0.1,7.2
2025-04-28,20:12:43,0.1,7.2
2025-04-28,20:12:53,0.1,7.2
2025-04-28,20:13:03,0.2,7.2
2025-04-28,20:13:13,0.1,7.2
2025-04-28,20:13:23,0.2,7.2
2025-04-28,20:13:33,0.2,7.3
2025-04-28,20:13:43,0.0,7.2
2025-04-28,20:13:53,0.1,7.2
2025-04-28,20:14:03,0.1,7.2
2025-04-28,20:14:13,0.2,7.2
2025-04-28,20:14:23,0.1,7.2
2025-04-28,20:14:33,0.0,7.2
2025-04-28,20:14:43,0.1,7.2
2025-04-28,20:14:53,0.0,7.2
2025-04-28,20:15:03,0.2,7.2
2025-04-28,20:15:13,0.2,7.2
2025-04-28,20:15:23,0.0,7.2
2025-04-28,20:15:33,0.1,7.2
2025-04-28,20:15:43,0.1,7.2
2025-04-28,20:15:53,0.1,7.2
2025-04-28,20:16:03,0.2,7.2
2025-04-28,20:16:13,0.0,7.2
2025-04-28,20:16:23,0.1,7.2
2025-04-28,20:16:33,0.1,7.2
2025-04-28,20:16:43,1.5,7.3
2025-04-28,20:16:53,0.5,7.4
2025-04-28,20:17:03,0.9,7.6
2025-04-28,20:17:13,1.0,7.5
2025-04-28,20:17:23,0.5,7.6
2025-04-28,20:17:33,0.1,7.6
2025-04-28,20:17:43,0.2,7.5
2025-04-28,20:17:53,0.1,7.5
2025-04-28,20:18:03,0.2,7.5
2025-04-28,20:18:13,0.1,7.5
2025-04-28,20:18:23,0.0,7.5
2025-04-28,20:18:33,0.2,7.5
2025-04-28,20:18:43,0.0,7.5
2025-04-28,20:18:53,0.2,7.5
2025-04-28,20:19:03,0.2,7.5
2025-04-28,20:19:13,0.1,7.5
2025-04-28,20:19:23,0.3,7.4
2025-04-28,20:19:33,0.1,7.4
2025-04-28,20:19:43,0.5,7.7
2025-04-28,20:19:53,3.2,8.4
2025-04-28,20:20:03,0.2,8.2
2025-04-28,20:20:13,0.2,8.1
2025-04-28,20:20:23,0.0,8.1
2025-04-28,20:20:33,0.2,8.1
2025-04-28,20:20:43,0.3,8.1
2025-04-28,20:20:53,3.1,9.9
2025-04-28,20:21:03,1.0,9.5
2025-04-28,20:21:13,1.6,8.6
2025-04-28,20:21:23,4.7,8.6
2025-04-28,20:21:33,0.5,8.4
2025-04-28,20:21:43,0.1,8.3
2025-04-28,20:21:53,0.2,8.4
2025-04-28,20:22:03,0.2,8.3
2025-04-28,20:22:13,0.0,8.3
2025-04-28,20:22:23,0.2,8.3
2025-04-28,20:22:33,0.0,8.3
2025-04-28,20:22:43,0.2,8.3
2025-04-28,20:22:53,0.2,8.3
2025-04-28,20:23:03,0.1,8.3
2025-04-28,20:23:13,0.2,8.3
2025-04-28,20:23:23,0.0,8.3
2025-04-28,20:23:33,0.2,8.3
2025-04-28,20:23:43,0.2,8.3
2025-04-28,20:23:53,0.1,8.3
2025-04-28,20:24:03,0.2,8.3
2025-04-28,20:24:13,0.1,8.3
2025-04-28,20:24:23,0.1,8.3
2025-04-28,20:24:33,0.2,8.3
2025-04-28,20:24:43,0.1,8.3
2025-04-28,20:24:53,0.2,8.3
2025-04-28,20:25:03,0.1,8.3
2025-04-28,20:25:13,0.0,8.3
2025-04-28,20:25:23,0.2,8.3
2025-04-28,20:25:33,0.1,8.3
2025-04-28,20:25:43,0.1,8.3
2025-04-28,20:25:53,0.2,8.3
2025-04-28,20:26:03,0.1,8.3
2025-04-28,20:26:13,0.1,8.3
2025-04-28,20:26:23,0.0,8.3
2025-04-28,20:26:33,0.2,8.3
2025-04-28,20:26:43,0.2,8.3
2025-04-28,20:26:53,0.1,8.3
2025-04-28,20:27:03,0.2,8.3
2025-04-28,20:27:13,0.1,8.3
2025-04-28,20:27:23,0.2,8.3
2025-04-28,20:27:33,0.1,8.3
2025-04-28,20:27:43,0.0,8.3
2025-04-28,20:27:53,0.2,8.3
2025-04-28,20:28:03,0.1,8.3
2025-04-28,20:28:13,0.1,8.3
2025-04-28,20:28:23,0.1,8.3
2025-04-28,20:28:33,0.0,8.3
2025-04-28,20:28:43,0.2,8.3
2025-04-28,20:28:53,0.2,8.3
2025-04-28,20:29:03,0.1,8.3
2025-04-28,20:29:13,0.1,8.3
2025-04-28,20:29:23,0.0,8.3
2025-04-28,20:29:33,0.1,8.3
2025-04-28,20:29:43,0.1,8.3
2025-04-28,20:29:53,0.1,8.3
2025-04-28,20:30:03,0.1,8.3
2025-04-28,20:30:13,0.0,8.3
2025-04-28,20:30:23,0.2,8.3
2025-04-28,20:30:33,0.1,8.3
2025-04-28,20:30:43,0.0,8.3
2025-04-28,20:30:53,0.2,8.3
2025-04-28,20:31:03,0.0,8.3
2025-04-28,20:31:13,0.1,8.3
2025-04-28,20:31:23,0.2,8.3
2025-04-28,20:31:33,0.0,8.3
2025-04-28,20:31:43,0.1,8.3
2025-04-28,20:31:53,0.2,8.3
2025-04-28,20:32:03,0.1,8.3
2025-04-28,20:32:13,0.1,8.3
2025-04-28,20:32:23,0.0,8.3
2025-04-28,20:32:33,0.1,8.3
2025-04-28,20:32:43,0.1,8.3
2025-04-28,20:32:53,0.1,8.3
2025-04-28,20:33:03,0.1,8.3
2025-04-28,20:33:13,0.0,8.3
2025-04-28,20:33:23,0.1,8.3
2025-04-28,20:33:33,0.2,8.3
2025-04-28,20:33:43,0.1,8.3
2025-04-28,20:33:53,0.2,8.3
2025-04-28,20:34:03,0.0,8.3
2025-04-28,20:34:13,0.1,8.3
2025-04-28,20:34:23,0.1,8.3
2025-04-28,20:34:33,0.1,8.3
2025-04-28,20:34:43,0.2,8.3
2025-04-28,20:34:53,0.1,8.3
2025-04-28,20:35:03,0.2,8.3
2025-04-28,20:35:13,0.1,8.3
2025-04-28,20:35:23,0.0,8.3
2025-04-28,20:35:33,0.1,8.3
2025-04-28,20:35:43,0.1,8.3
2025-04-28,20:35:53,0.1,8.3
2025-04-28,20:36:03,0.2,8.3
2025-04-28,20:36:13,0.1,8.3
2025-04-28,20:36:23,0.1,8.3
2025-04-28,20:36:33,0.1,8.3
2025-04-28,20:36:43,0.1,8.3
2025-04-28,20:36:53,0.2,8.3
2025-04-28,20:37:03,0.0,8.3
2025-04-28,20:37:13,0.1,8.3
2025-04-28,20:37:23,0.2,8.3
2025-04-28,20:37:33,0.1,8.3
2025-04-28,20:37:43,0.1,8.3
2025-04-28,20:37:53,0.1,8.3
2025-04-28,20:38:03,0.1,8.3
2025-04-28,20:38:13,0.2,8.3
2025-04-28,20:38:23,0.0,8.3
2025-04-28,20:38:33,0.1,8.3
2025-04-28,20:38:43,0.1,8.3
2025-04-28,20:38:53,0.1,8.3
2025-04-28,20:39:03,0.2,8.3
2025-04-28,20:39:13,0.0,8.3
2025-04-28,20:39:23,0.2,8.3
2025-04-28,20:39:33,0.2,8.3
2025-04-28,20:39:43,0.0,8.3
2025-04-28,20:39:53,0.2,8.3
2025-04-28,20:40:03,0.0,8.3
2025-04-28,20:40:13,0.1,8.3
2025-04-28,20:40:23,0.2,8.3
2025-04-28,20:40:33,0.1,8.3
2025-04-28,20:40:43,0.1,8.4
2025-04-28,20:40:53,0.1,8.3
2025-04-28,20:41:03,0.2,8.3
2025-04-28,20:41:13,0.2,8.3
2025-04-28,20:41:23,0.1,8.3
2025-04-28,20:41:33,0.2,8.3
2025-04-28,20:41:43,0.0,8.3
2025-04-28,20:41:53,0.2,8.3
2025-04-28,20:42:03,0.1,8.3
2025-04-28,20:42:13,0.0,8.3
2025-04-28,20:42:23,0.1,8.3
2025-04-28,20:42:33,0.2,8.3
2025-04-28,20:42:43,0.1,8.3
2025-04-28,20:42:53,0.2,8.3
2025-04-28,20:43:03,0.0,8.3
2025-04-28,20:43:13,0.1,8.3
2025-04-28,20:43:23,0.1,8.3
2025-04-28,20:43:33,0.0,8.3
2025-04-28,20:43:43,0.1,8.3
2025-04-28,20:43:53,0.1,8.3
2025-04-28,20:44:03,0.2,8.3
2025-04-28,20:44:13,0.1,8.3
2025-04-28,20:44:23,0.1,8.3
2025-04-28,20:44:33,0.1,8.3
2025-04-28,20:44:43,0.1,8.3
2025-04-28,20:44:53,0.2,8.3
2025-04-28,20:45:03,0.1,8.3
2025-04-28,20:45:13,0.0,8.3
2025-04-28,20:45:23,0.2,8.3
2025-04-28,20:45:33,0.0,8.3
2025-04-28,20:45:43,0.2,8.3
2025-04-28,20:45:53,0.1,8.3
2025-04-28,20:46:03,0.1,8.3
2025-04-28,20:46:13,0.1,8.3
2025-04-28,20:46:23,0.1,8.3
2025-04-28,20:46:33,0.0,8.3
2025-04-28,20:46:43,0.1,8.3
2025-04-28,20:46:53,0.1,8.3
2025-04-28,20:47:03,0.1,8.3
2025-04-28,20:47:13,0.1,8.3
2025-04-28,20:47:23,0.0,8.3
2025-04-28,20:47:33,0.1,8.3
2025-04-28,20:47:43,0.1,8.3
2025-04-28,20:47:53,0.2,8.3
2025-04-28,20:48:03,0.1,8.4
2025-04-28,20:48:13,0.0,8.3
2025-04-28,20:48:23,0.2,8.3
2025-04-28,20:48:33,0.0,8.3
